timestamp;acidez_day_tank;clorofila;degomagem_enzimatica_sabao_ika;degomagem_enzimatica_spin_test;clarificacao_cor_vermelha;clarificacao_clorofila;desodorizacao_acidez;desodorizacao_sabao;desodorizacao_clorofila;desodorizacao_cor_amarela;desodorizacao_cor_vermelha
11/16/2019 10:00;0;0;0;0;7,8;134;0,05;1,5;38;12;1,3
11/16/2019 12:00;0;0;0;0;8;133;0,05;0,9;68;11;1
11/16/2019 14:00;0;0;0;0;7,4;123;0,05;0,9;43;12;1,2
11/16/2019 16:00;1,23;915;871;0,1;7,5;127;0,05;1,2;29;11;1,1
11/16/2019 18:00;0;0;0;0;8,1;114;0,05;1,1;39;12;1,3
11/16/2019 20:00;0;0;0;0;8,3;118;0,05;0,9;37;12;1,1
11/16/2019 22:00;0;0;0;0;7,9;117;0,05;1,1;39;12;1,1
11/17/2019 0:00;1,55;925;736;0,1;7,6;102;0,05;1,2;33;12;1,1
11/17/2019 2:00;0;0;0;0;7,8;123;0,05;1,2;68;12;1,1
11/17/2019 4:00;0;0;0;0;8,3;109;0,05;0,9;30;12;1,1
11/17/2019 6:00;0;No events found,;0;0;8,3;124;0,05;1,3;27;13;1,3
11/17/2019 8:00;1,55;905;768;0,1;7,6;141;0,05;1,7;33;20;2
11/17/2019 10:00;0;0;0;0;8;130;0,06;1,6;44;11;0,9
11/17/2019 12:00;0;0;0;0;7,7;153;0,06;1,3;38;11;1
11/17/2019 14:00;0;0;0;0;7,6;169;0,06;1,2;33;11;1
11/17/2019 16:00;1,41;865;812;0,2;8,1;113;0,05;0,9;73;13;1,4
11/17/2019 18:00;0;0;0;0;7,8;118;0,05;0,9;41;12;1,2
11/17/2019 20:00;0;0;0;0;7,9;123;0,05;1,2;43;12;1,2
11/17/2019 22:00;0;0;0;0;8;119;0,05;1,2;45;12;1,2
11/18/2019 0:00;1,45;870;800;0,2;8;105;0,05;1,1;54;11;1
11/18/2019 2:00;0;0;0;0;8,2;125;0,05;1;40;11;1,2
11/18/2019 4:00;0;0;0;0;7,7;133;0,05;1,2;40;12;1,2
11/18/2019 6:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/18/2019 8:00;0,48;862;759;0;8,4;122;0,05;0,5;35;12;1,2
11/18/2019 10:00;0;0;0;0;7;190;0,05;2,1;38;11;1
11/18/2019 12:00;0;0;0;0;7,6;102;0,05;2;64;11;1,1
11/18/2019 14:00;0;0;0;0;7,8;101;0,06;2;30;11;0,9
11/18/2019 16:00;1,65;852;791;0,1;6,9;157;0,05;1,2;29;12;1,1
11/18/2019 18:00;0;0;0;0;8;94;0,05;0,9;27;11;1,1
11/18/2019 20:00;0;0;0;0;8,1;98;0,05;0,9;25;11;1
11/18/2019 22:00;0;0;0;0;8,1;92;0,04;1,2;29;11;1,1
11/19/2019 0:00;1,47;861;815;0,1;8;94;0,05;0,9;33;9,9;0,8
11/19/2019 2:00;0;0;0;0;7,3;101;0,04;1;30;12;1,2
11/19/2019 4:00;0;0;0;0;7,5;97;0,05;0,8;44;11;1
11/19/2019 6:00;0;No events found,;0;0;7,7;96;0,05;1,1;38;11;1
11/19/2019 8:00;1,49;854;724;0,1;6,6;172;0,05;2,1;28;9,9;1
