data hora	measurement_desc	pi_value1	plant_name
2019-11-20 12:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-20 14:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-20 16:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-20 18:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-20 20:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-20 22:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-21 00:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-21 02:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-21 04:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-21 06:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-21 08:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-21 10:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-21 12:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-21 14:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-21 16:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-11-21 18:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-21 20:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-21 22:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-22 00:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-22 02:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-22 04:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-22 08:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-22 10:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-22 12:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-22 14:00:00	YellowColor_Oil_Deodorizing	13	Primavera do Leste
2019-11-22 16:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-22 18:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-22 20:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-22 22:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-23 00:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-23 02:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-23 04:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-23 08:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-23 10:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-11-23 12:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-11-23 14:00:00	YellowColor_Oil_Deodorizing	1.1	Primavera do Leste
2019-11-29 08:00:00	YellowColor_Oil_Deodorizing	0	Primavera do Leste
2019-11-29 10:00:00	YellowColor_Oil_Deodorizing	0	Primavera do Leste
2019-11-29 12:00:00	YellowColor_Oil_Deodorizing	0	Primavera do Leste
2019-11-29 14:00:00	YellowColor_Oil_Deodorizing	0	Primavera do Leste
2019-11-29 16:00:00	YellowColor_Oil_Deodorizing	0	Primavera do Leste
2019-11-29 18:00:00	YellowColor_Oil_Deodorizing	14	Primavera do Leste
2019-11-29 20:00:00	YellowColor_Oil_Deodorizing	8.6	Primavera do Leste
2019-11-29 22:00:00	YellowColor_Oil_Deodorizing	9.8	Primavera do Leste
2019-11-30 00:00:00	YellowColor_Oil_Deodorizing	9.1	Primavera do Leste
2019-11-30 02:00:00	YellowColor_Oil_Deodorizing	10	Primavera do Leste
2019-11-30 04:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-30 06:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-30 08:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-30 10:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-30 12:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-30 14:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-30 16:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-01-12 08:00:00	YellowColor_Oil_Deodorizing	0	Primavera do Leste
2019-01-12 10:00:00	YellowColor_Oil_Deodorizing	0	Primavera do Leste
2019-01-12 12:00:00	YellowColor_Oil_Deodorizing	0	Primavera do Leste
2019-01-12 14:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-01-12 16:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-01-12 18:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-01-12 20:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-01-12 22:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-02-12 00:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-02-12 02:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-02-12 04:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-02-12 08:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-02-12 10:00:00	YellowColor_Oil_Deodorizing	9.8	Primavera do Leste
2019-02-12 12:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-02-12 14:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-02-12 16:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-02-12 18:00:00	YellowColor_Oil_Deodorizing	9.5	Primavera do Leste
2019-02-12 20:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-02-12 22:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-03-12 00:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-03-12 02:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-03-12 04:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-03-12 06:00:00	YellowColor_Oil_Deodorizing	10	Primavera do Leste
2019-03-12 08:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-03-12 10:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-03-12 12:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-03-12 14:00:00	YellowColor_Oil_Deodorizing	0	Primavera do Leste
2019-03-12 16:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-03-12 18:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-03-12 20:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-03-12 22:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-04-12 00:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-04-12 02:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-04-12 04:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-04-12 06:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-04-12 08:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-04-12 10:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-04-12 12:00:00	YellowColor_Oil_Deodorizing	13	Primavera do Leste
2019-04-12 14:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-04-12 16:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-04-12 18:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-04-12 20:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-04-12 22:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-05-12 00:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-05-12 02:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-05-12 04:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-05-12 06:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-05-12 08:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-05-12 10:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-05-12 12:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-05-12 14:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
